app_name,app_id,count
To the Moon,206440,3347
Cave Story+,200900,1873
Dishonored,205100,4681
Half-Life 2: Episode Two,420,1228
Rust,252490,4074
Castle Crashers,204360,3054
Terraria,105600,24245
Don't Starve,219740,5296
The Walking Dead,207610,10320
Arma 3,107410,3850
Euro Truck Simulator 2,227300,3748
Half-Life,70,2525
Gunpoint,206190,1565
The Elder Scrolls V: Skyrim,72850,30088
BioShock Infinite,8870,10971
The Wolf Among Us,250320,1586
Total War: ROME II - Emperor Edition,214950,4253
The Sims(TM) 3,47890,586
Mark of the Ninja,214560,3479
Batman: Arkham Asylum GOTY Edition,35140,3813
Age of Empires II (2013),221380,2990
Outlast,238320,2808
Mount & Blade: Warband,48700,6636
STAR WARS™ Empire at War: Gold Pack,32470,256
Portal 2,620,18908
X Rebirth,2870,1868
The Binding of Isaac,113200,11092
Nether,247730,1446
Kenshi,233860,314
Super Meat Boy,40800,5094
"Papers, Please",239030,2591
Saints Row: The Third,55230,8340
Garry's Mod,4000,25077
X-Blades,7510,26
Tomb Raider,203160,8506
FTL: Faster Than Light,212680,8864
Sid Meier's Civilization V,8930,15438
Hotline Miami,219150,6420
Volgarr the Viking,247240,235
Takedown: Red Sabre,236510,209
Super Hexagon,221640,4653
Europa Universalis IV,236850,1132
PAYDAY 2,218620,9512
Counter-Strike: Source,240,12852
