app_name,app_id,count
BeamNG.drive,284160,233
To the Moon,206440,7763
Tabletop Simulator,286160,947
Cave Story+,200900,950
Dishonored,205100,8242
Half-Life 2: Episode Two,420,1334
Rust,252490,51830
Guacamelee! Super Turbo Championship Edition,275390,118
BattleBlock Theater,238460,12704
Castle Crashers,204360,10839
Terraria,105600,32992
The Elder Scrolls Online,306130,917
Don't Starve,219740,16922
The Walking Dead,207610,8209
Arma 3,107410,19364
Euro Truck Simulator 2,227300,18349
Half-Life,70,2895
Broforce,274190,4143
Gunpoint,206190,3302
The Elder Scrolls V: Skyrim,72850,50118
BioShock Infinite,8870,20679
The Wolf Among Us,250320,7760
Total War: ROME II - Emperor Edition,214950,11995
The Sims(TM) 3,47890,1923
Mark of the Ninja,214560,3717
Batman: Arkham Asylum GOTY Edition,35140,3619
Age of Empires II (2013),221380,8099
FINAL FANTASY XIV Online,39210,1003
Outlast,238320,8920
Mount & Blade: Warband,48700,13183
STAR WARS™ Empire at War: Gold Pack,32470,718
The Room,288160,714
Subnautica,264710,41
Portal 2,620,19604
X Rebirth,2870,1725
The Binding of Isaac,113200,15877
Nether,247730,9019
Kenshi,233860,850
Super Meat Boy,40800,5068
"Papers, Please",239030,6368
The Binding of Isaac: Rebirth,250900,9197
Saints Row: The Third,55230,7686
Don't Starve Together,322330,2659
Garry's Mod,4000,68324
Shovel Knight: Treasure Trove,250760,2469
X-Blades,7510,356
Tomb Raider,203160,18483
South Park™: The Stick of Truth™,213670,11231
Banished,242920,10666
FTL: Faster Than Light,212680,12205
One Finger Death Punch,264200,4474
The Forest,242760,19498
Sid Meier's Civilization V,8930,29676
Deus Ex: The Fall,258180,1225
Hotline Miami,219150,9611
Volgarr the Viking,247240,433
Takedown: Red Sabre,236510,3207
Super Hexagon,221640,7111
Europa Universalis IV,236850,5234
PAYDAY 2,218620,59584
Counter-Strike: Source,240,17960
