app_name,app_id,count
Totally Accurate Battle Simulator,508440,19670
HuniePop,339800,2862
PixARK,593600,1513
Garry's Mod,4000,112888
Among Us,945360,1507
SCUM,513710,10638
Shovel Knight: Treasure Trove,250760,2094
Staxel,405710,1155
X-Blades,7510,215
Tomb Raider,203160,16078
South Park™: The Stick of Truth™,213670,3282
Danganronpa 2: Goodbye Despair,413420,2100
Into the Breach,590380,2819
Monster Prom,743450,2469
Nova Drift,858210,1150
Banished,242920,3436
Fallout 4,377160,30564
Eco,382310,1307
Bomber Crew,537800,1250
Night in the Woods,481510,1707
Age of Empires: Definitive Edition,1017900,2154
Sword Art Online: Fatal Bullet,626690,3662
Human: Fall Flat,477160,28280
FTL: Faster Than Light,212680,6419
PLAYERUNKNOWN'S BATTLEGROUNDS,578080,320935
One Finger Death Punch,264200,1168
theHunter: Call of the Wild™,518790,11819
Kingdom Come: Deliverance,379430,17553
BATTALION 1944,489940,8206
DYNASTY WARRIORS 9,730310,1113
Ultimate Marvel vs. Capcom 3,357190,505
The Forest,242760,37829
Sid Meier's Civilization V,8930,18030
RimWorld,294100,20638
Northgard,466560,7583
X-Plane 11,269950,2389
Getting Over It with Bennett Foddy,240720,4953
NBA 2K18,577800,1242
Identity,792990,554
Deus Ex: The Fall,258180,271
Salt and Sanctuary,283640,1923
Void Bastards,857980,2140
Total War: WARHAMMER II,594570,26589
Middle-earth™: Shadow of War™,356190,10793
Crash Bandicoot™ N. Sane Trilogy,731490,3551
Thief Simulator,704850,2841
The Wild Eight,526160,1279
Hotline Miami,219150,6498
Hades,1145360,5968
Freeman: Guerrilla Warfare,773951,3210
SimAirport,598330,579
Volgarr the Viking,247240,108
Clicker Heroes 2,629910,599
Foundation,690830,3154
For The King,527230,3831
Wallpaper Engine,431960,58542
Neon Hardcorps,454200,28
Call of Duty: WWII,476600,4286
Just Cause 4,517630,8286
Factorio,427520,20229
VA-11 Hall-A: Cyberpunk Bartender Action,447530,5015
Raft,648800,19788
Beat Saber,620980,17416
Surviving Mars,464920,4337
Fishing: Barents Sea,501080,378
PC Building Simulator,621060,10038
Conan Exiles,440900,14321
Rules Of Survival,788260,1063
House Flipper,613100,8859
Battle Royale Trainer,772540,142
Assassin's Creed Origins,582160,7553
For Honor,304390,18106
BATTLETECH,637090,6338
Takedown: Red Sabre,236510,113
Super Hexagon,221640,1416
Trailmakers,585420,1618
GOD EATER 3,899440,3641
Resident Evil 2,883710,49206
Dead Rising 4,543460,551
Darksiders III,606280,3749
DUSK,519860,4418
Cities: Skylines,255710,27969
Europa Universalis IV,236850,17579
Bless Online,681660,1005
20XX,322110,496
PAYDAY 2,218620,53728
Wolfenstein: Youngblood,1056960,5481
Counter-Strike: Source,240,19349
Baba Is You,736260,7134
Pogostuck: Rage With Your Friends,688130,875
Monster Hunter: World,582010,74159
Football Manager 2019,872790,6698
Iconoclasts,393520,677
Resident Evil 7 Biohazard,418370,4137
Black Mesa,362890,9176
FINAL FANTASY XII THE ZODIAC AGE,595520,654
GRIS,683320,14425
Planet Coaster,493340,7599
Slime Rancher,433340,11876
Rise of the Tomb Raider,391220,16303
Streets of Rogue,512900,3985
