app_name,app_id,count
Cold Waters,541210,476
BeamNG.drive,284160,4435
Jurassic World Evolution,648350,11545
To the Moon,206440,4676
Heroes of Hammerwatch,677120,1410
Pathfinder: Kingmaker,640820,7102
Rocket League,252950,58088
No Man's Sky,275850,27531
Thimbleweed Park,569860,428
FINAL FANTASY XV WINDOWS EDITION,637650,15398
SOS,619080,6152
ARK: Survival Evolved,346110,32325
Secret of Mana,637670,1297
Tabletop Simulator,286160,3326
Hollow Knight,367520,39308
Train Sim World® 2020,530070,1043
Cave Story+,200900,321
Pillars of Eternity II: Deadfire,560130,4643
Dishonored,205100,4480
Dead Cells,588650,11357
Ni no Kuni™ II: Revenant Kingdom,589360,3252
Black Desert Online,582660,6584
Desolate,671510,2702
Devil May Cry HD Collection,631510,1098
Pit People,291860,1318
Half-Life 2: Episode Two,420,2209
Rust,252490,48202
Railway Empire,503940,3129
HITMAN™ 2,863550,8882
Darkest Dungeon®,262060,11929
Styx: Shards of Darkness,355790,683
Rapture Rejects,686600,709
Artifact,583950,16935
Blackwake,420290,2612
Out of the Park Baseball 19,619290,451
Danganronpa: Trigger Happy Havoc,413410,1422
Guacamelee! Super Turbo Championship Edition,275390,453
My Time At Portia,666140,7974
A Hat in Time,253230,7719
NBA 2K19,841370,7585
BattleBlock Theater,238460,5348
Just Shapes & Beats,531510,1317
Mutant Year Zero: Road to Eden,760060,1736
Nioh: Complete Edition,485510,4907
Totally Accurate Battlegrounds,823130,22484
Warhammer: Vermintide 2,552500,24911
Yakuza 0,638970,7705
OneShot,420530,4501
Castle Crashers,204360,7779
Undertale,391540,12405
Far Cry 5,552520,27813
DARK SOULS™ III,374320,30558
Terraria,105600,42417
Tales of Berseria,429660,2831
Little Nightmares,424840,3128
The Elder Scrolls Online,306130,13091
Watch_Dogs 2,447040,6161
Toukiden 2,551730,173
Don't Starve,219740,6634
Dungreed,753420,1882
Dragon Cliff 龙崖,758190,1141
Mirror,644560,14359
Keep Talking and Nobody Explodes,341800,1202
Frostpunk,323190,22142
Hunt: Showdown,594650,24087
Avorion,445220,991
Axiom Verge,332200,437
DRAGON BALL FighterZ,678950,10540
Farm Together,673950,3342
WWE 2K17,510510,142
The Walking Dead,207610,4558
The Elder Scrolls V: Skyrim Special Edition,489830,13159
Cuphead,268910,10391
Arma 3,107410,16641
Detention,555220,1926
Cyberdimension Neptunia: 4 Goddesses Online,632350,2920
Oxygen Not Included,457140,8116
The Crew 2,646910,5729
Euro Truck Simulator 2,227300,44534
Day of Infamy,447820,5227
Vampyr,427290,5355
Half-Life,70,5919
Broforce,274190,4149
