app_name,app_id,count
BeamNG.drive,284160,3488
To the Moon,206440,9981
Rocket League,252950,82151
No Man's Sky,275850,71620
ARK: Survival Evolved,346110,55378
Tabletop Simulator,286160,3787
Cave Story+,200900,829
Dishonored,205100,9338
Half-Life 2: Episode Two,420,3953
Rust,252490,51450
Darkest Dungeon®,262060,10516
Danganronpa: Trigger Happy Havoc,413410,2049
Guacamelee! Super Turbo Championship Edition,275390,455
BattleBlock Theater,238460,8821
OneShot,420530,450
Castle Crashers,204360,7760
Undertale,391540,40703
DARK SOULS™ III,374320,35142
Terraria,105600,50805
The Elder Scrolls Online,306130,9920
Watch_Dogs 2,447040,6161
Don't Starve,219740,12075
Keep Talking and Nobody Explodes,341800,1563
Axiom Verge,332200,1047
The Walking Dead,207610,6959
The Elder Scrolls V: Skyrim Special Edition,489830,23654
Arma 3,107410,25467
Euro Truck Simulator 2,227300,30922
Day of Infamy,447820,1663
Half-Life,70,5094
Broforce,274190,9283
Gunpoint,206190,1707
RollerCoaster Tycoon World,282560,3100
The Elder Scrolls V: Skyrim,72850,61073
BioShock Infinite,8870,14452
Dead by Daylight,381210,49157
Dying Light,239140,14610
Down To One,334040,1483
The Wolf Among Us,250320,3314
Momodora: Reverie Under the Moonlight,428550,1927
Total War: ROME II - Emperor Edition,214950,5283
Stellaris,281990,12296
Hearts of Iron IV,394360,6537
The Sims(TM) 3,47890,2472
Divinity: Original Sin 2,435150,1186
XCOM 2,268500,16573
Mark of the Ninja,214560,2176
Batman: Arkham Asylum GOTY Edition,35140,3688
Torment: Tides of Numenera,272270,132
Age of Empires II (2013),221380,12785
Call of Duty: Infinite Warfare,292730,6558
FINAL FANTASY XIV Online,39210,2298
Youtubers Life,428690,5028
Umbrella Corps,390340,861
Outlast,238320,6249
Enter the Gungeon,311690,6950
Just Cause 3,225540,13378
Mount & Blade: Warband,48700,14995
DOOM,379720,32949
Ghost of a Tale,417290,324
STAR WARS™ Empire at War: Gold Pack,32470,1287
The Room,288160,2823
Subnautica,264710,17739
Stardew Valley,413150,43121
Tom Clancy's Rainbow Six Siege,359550,40100
Portal 2,620,24002
Shadow Complex Remastered,385560,289
American Truck Simulator,270880,11288
X Rebirth,2870,855
The Witcher 3: Wild Hunt,292030,50743
The Binding of Isaac,113200,4190
The Room Two,425580,1901
Duck Game,312530,4731
Nether,247730,1767
Kenshi,233860,917
Super Meat Boy,40800,4110
STEINS;GATE,412830,744
Sid Meier's Civilization VI,289070,21002
Titan Souls,297130,1524
"Papers, Please",239030,4713
The Binding of Isaac: Rebirth,250900,19317
Saints Row: The Third,55230,6515
Total War: WARHAMMER,364360,22513
Grand Theft Auto V,271590,93749
Don't Starve Together,322330,27246
HuniePop,339800,4066
Garry's Mod,4000,69401
Shovel Knight: Treasure Trove,250760,1643
X-Blades,7510,706
Tomb Raider,203160,16283
South Park™: The Stick of Truth™,213670,7323
Danganronpa 2: Goodbye Despair,413420,1410
Banished,242920,4253
Fallout 4,377160,40321
Human: Fall Flat,477160,628
FTL: Faster Than Light,212680,6589
One Finger Death Punch,264200,2230
The Forest,242760,19119
Sid Meier's Civilization V,8930,33687
RimWorld,294100,8905
Deus Ex: The Fall,258180,401
Salt and Sanctuary,283640,2672
Hotline Miami,219150,7697
Volgarr the Viking,247240,259
Wallpaper Engine,431960,4036
Neon Hardcorps,454200,14
Factorio,427520,17737
VA-11 Hall-A: Cyberpunk Bartender Action,447530,2124
Takedown: Red Sabre,236510,449
Super Hexagon,221640,2201
Cities: Skylines,255710,16140
Europa Universalis IV,236850,9595
20XX,322110,753
PAYDAY 2,218620,64621
Counter-Strike: Source,240,11934
Black Mesa,362890,3438
Planet Coaster,493340,8778
Slime Rancher,433340,6711
Rise of the Tomb Raider,391220,21974
