app_name,app_id,count
Cold Waters,541210,52
BeamNG.drive,284160,3041
Jurassic World Evolution,648350,1906
To the Moon,206440,631
Heroes of Hammerwatch,677120,262
Pathfinder: Kingmaker,640820,306
Rocket League,252950,6682
No Man's Sky,275850,2171
Thimbleweed Park,569860,28
FINAL FANTASY XV WINDOWS EDITION,637650,659
SOS,619080,7
ARK: Survival Evolved,346110,8280
Secret of Mana,637670,22
Tabletop Simulator,286160,1306
Grimm's Hollow,1170880,275
Hollow Knight,367520,11246
Train Sim World® 2020,530070,53
Cave Story+,200900,45
Pillars of Eternity II: Deadfire,560130,216
Dishonored,205100,708
Dead Cells,588650,1510
Ni no Kuni™ II: Revenant Kingdom,589360,186
People Playground,1118200,3887
Black Desert Online,582660,846
Desolate,671510,39
Devil May Cry HD Collection,631510,110
Pit People,291860,51
Half-Life 2: Episode Two,420,588
Rust,252490,30946
Railway Empire,503940,82
HITMAN™ 2,863550,1873
Darkest Dungeon®,262060,1552
Styx: Shards of Darkness,355790,61
Rapture Rejects,686600,8
Artifact,583950,27
Blackwake,420290,1354
Danganronpa: Trigger Happy Havoc,413410,941
Phoenix Wright: Ace Attorney Trilogy,787480,430
Guacamelee! Super Turbo Championship Edition,275390,50
My Time At Portia,666140,550
A Hat in Time,253230,727
NBA 2K19,841370,203
BattleBlock Theater,238460,608
Just Shapes & Beats,531510,330
Mutant Year Zero: Road to Eden,760060,156
Nioh: Complete Edition,485510,386
Totally Accurate Battlegrounds,823130,1108
Warhammer: Vermintide 2,552500,1750
Yakuza 0,638970,1751
OneShot,420530,506
Castle Crashers,204360,1435
DEATH STRANDING,1190460,3122
Undertale,391540,3504
Far Cry 5,552520,3657
DARK SOULS™ III,374320,6714
Terraria,105600,16019
Tales of Berseria,429660,171
Little Nightmares,424840,2140
The Elder Scrolls Online,306130,1637
Watch_Dogs 2,447040,610
Toukiden 2,551730,3
Don't Starve,219740,948
Dungreed,753420,95
Dragon Cliff 龙崖,758190,227
Mirror,644560,1275
Crusader Kings III,1158310,2029
Keep Talking and Nobody Explodes,341800,142
Frostpunk,323190,1078
Hunt: Showdown,594650,1715
Avorion,445220,155
Axiom Verge,332200,59
DRAGON BALL FighterZ,678950,2346
Farm Together,673950,328
