app_name,app_id,count
Stardew Valley,413150,111193
Tom Clancy's Rainbow Six Siege,359550,327240
Kingdom Two Crowns,701160,3291
DOOM Eternal,782330,100232
Portal 2,620,61364
Shadow Complex Remastered,385560,61
American Truck Simulator,270880,28327
SOULCALIBUR VI,544750,2388
X Rebirth,2870,170
DRAGON QUEST HEROES™ II,574050,54
The Witcher 3: Wild Hunt,292030,173992
WWE 2K19,817130,797
ATLAS,834910,5962
The Binding of Isaac,113200,3051
"Warhammer 40,000: Mechanicus",673880,3827
Assassin's Creed Odyssey,812140,47207
The Room Two,425580,2444
Duck Game,312530,6691
DiRT 4,421020,3753
Total War: THREE KINGDOMS,779340,21815
Senren＊Banka,1144400,4854
Nether,247730,226
Kenshi,233860,15515
Celeste,504230,15289
The Legend of Heroes: Trails of Cold Steel II,748490,567
Super Meat Boy,40800,2279
STEINS;GATE,412830,2655
Sid Meier's Civilization VI,289070,60940
Overcooked! 2,728880,13195
Titan Souls,297130,701
"Papers, Please",239030,8438
CHRONO TRIGGER,613830,1512
Fairy Fencer F Advent Dark Force,524580,179
The Binding of Isaac: Rebirth,250900,31407
Saints Row: The Third,55230,8964
Total War: WARHAMMER,364360,4115
Steel Division: Normandy 44,572410,582
Insurgency: Sandstorm,581320,25135
NieR:Automata™,524220,23391
Puyo Puyo™Tetris®,546050,1451
Slay the Spire,646570,31333
Ori and the Will of the Wisps,1057090,49618
Grand Theft Auto V,271590,357746
Don't Starve Together,322330,83355
The End Is Nigh,583470,347
Due Process,753650,2245
WWE 2K20,1015500,2610
Totally Accurate Battle Simulator,508440,30462
HuniePop,339800,4416
PixARK,593600,2489
Garry's Mod,4000,186904
Among Us,945360,462453
SCUM,513710,12015
Shovel Knight: Treasure Trove,250760,1799
Staxel,405710,826
X-Blades,7510,251
Tomb Raider,203160,72475
South Park™: The Stick of Truth™,213670,6365
Danganronpa 2: Goodbye Despair,413420,6543
Half-Life: Alyx,546560,49229
Into the Breach,590380,3309
Monster Prom,743450,3523
Persona 4 Golden,1113000,38576
Nova Drift,858210,1899
Banished,242920,4602
Fallout 4,377160,50392
Eco,382310,2365
Bomber Crew,537800,1935
Night in the Woods,481510,2653
Age of Empires: Definitive Edition,1017900,3503
Sword Art Online: Fatal Bullet,626690,4246
Human: Fall Flat,477160,66651
FTL: Faster Than Light,212680,7995
PLAYERUNKNOWN'S BATTLEGROUNDS,578080,404096
One Finger Death Punch,264200,734
theHunter: Call of the Wild™,518790,35109
NBA 2K21,1225330,13798
Kingdom Come: Deliverance,379430,20007
BATTALION 1944,489940,797
DYNASTY WARRIORS 9,730310,1159
Ultimate Marvel vs. Capcom 3,357190,818
The Forest,242760,84074
Sid Meier's Civilization V,8930,24095
RimWorld,294100,36031
Northgard,466560,11558
X-Plane 11,269950,5287
Getting Over It with Bennett Foddy,240720,14025
NBA 2K18,577800,1325
Identity,792990,368
Deus Ex: The Fall,258180,435
Salt and Sanctuary,283640,2939
Void Bastards,857980,1227
Total War: WARHAMMER II,594570,37444
Middle-earth™: Shadow of War™,356190,19301
Crash Bandicoot™ N. Sane Trilogy,731490,3304
Thief Simulator,704850,4978
The Wild Eight,526160,901
Hotline Miami,219150,9480
A Way Out,1222700,9719
Hades,1145360,100276
Freeman: Guerrilla Warfare,773951,1877
SimAirport,598330,709
Volgarr the Viking,247240,97
Clicker Heroes 2,629910,518
Foundation,690830,3700
For The King,527230,8044
Wallpaper Engine,431960,164371
Neon Hardcorps,454200,20
Call of Duty: WWII,476600,5617
Just Cause 4,517630,5512
Factorio,427520,41593
VA-11 Hall-A: Cyberpunk Bartender Action,447530,6933
Raft,648800,58561
Beat Saber,620980,18237
Surviving Mars,464920,4101
Fishing: Barents Sea,501080,518
PC Building Simulator,621060,12894
Conan Exiles,440900,19292
Rules Of Survival,788260,702
House Flipper,613100,18768
Battle Royale Trainer,772540,112
Assassin's Creed Origins,582160,19172
For Honor,304390,21889
Helltaker,1289310,84440
BATTLETECH,637090,5455
Borderlands 3,397540,64536
Takedown: Red Sabre,236510,174
Super Hexagon,221640,1417
There Is No Game: Wrong Dimension,1240210,7447
Trailmakers,585420,3205
GOD EATER 3,899440,1380
Phasmophobia,739630,198901
Resident Evil 2,883710,31914
Dead Rising 4,543460,1154
Darksiders III,606280,2424
DUSK,519860,3800
Cities: Skylines,255710,48928
Europa Universalis IV,236850,22148
ULTRAKILL,1229490,4973
Bless Online,681660,236
20XX,322110,539
PAYDAY 2,218620,86092
Wolfenstein: Youngblood,1056960,1764
Counter-Strike: Source,240,22724
Baba Is You,736260,4145
Pogostuck: Rage With Your Friends,688130,1339
Monster Hunter: World,582010,120117
Football Manager 2019,872790,2440
Iconoclasts,393520,966
Resident Evil 7 Biohazard,418370,11999
Black Mesa,362890,32370
FINAL FANTASY XII THE ZODIAC AGE,595520,1720
GRIS,683320,19925
Planet Coaster,493340,12177
Slime Rancher,433340,22345
Rise of the Tomb Raider,391220,25063
Streets of Rogue,512900,3333
