app_name,app_id,count
Cold Waters,541210,698
BeamNG.drive,284160,29713
Jurassic World Evolution,648350,14835
To the Moon,206440,7066
Heroes of Hammerwatch,677120,1968
Pathfinder: Kingmaker,640820,7619
Rocket League,252950,152944
No Man's Sky,275850,44074
Thimbleweed Park,569860,570
FINAL FANTASY XV WINDOWS EDITION,637650,10452
SOS,619080,255
ARK: Survival Evolved,346110,136099
Secret of Mana,637670,288
Tabletop Simulator,286160,17116
Grimm's Hollow,1170880,4086
Hollow Knight,367520,128516
Train Sim World® 2020,530070,2476
Cave Story+,200900,695
Pillars of Eternity II: Deadfire,560130,4032
Dishonored,205100,9861
Dead Cells,588650,25290
Ni no Kuni™ II: Revenant Kingdom,589360,2294
People Playground,1118200,19502
Black Desert Online,582660,15066
Desolate,671510,1329
Devil May Cry HD Collection,631510,1032
Pit People,291860,746
Half-Life 2: Episode Two,420,6891
Rust,252490,151973
Railway Empire,503940,1598
HITMAN™ 2,863550,22301
Darkest Dungeon®,262060,25512
Styx: Shards of Darkness,355790,906
Rapture Rejects,686600,184
Artifact,583950,1254
Blackwake,420290,8167
Out of the Park Baseball 19,619290,65
Danganronpa: Trigger Happy Havoc,413410,7820
Phoenix Wright: Ace Attorney Trilogy,787480,5981
Guacamelee! Super Turbo Championship Edition,275390,992
My Time At Portia,666140,11116
A Hat in Time,253230,9643
NBA 2K19,841370,3243
BattleBlock Theater,238460,8290
Just Shapes & Beats,531510,4479
Mutant Year Zero: Road to Eden,760060,3311
Nioh: Complete Edition,485510,8437
Totally Accurate Battlegrounds,823130,7217
Warhammer: Vermintide 2,552500,19851
Yakuza 0,638970,14995
OneShot,420530,5640
Castle Crashers,204360,15770
DEATH STRANDING,1190460,44659
Undertale,391540,34088
Far Cry 5,552520,38019
DARK SOULS™ III,374320,85727
Terraria,105600,284647
Tales of Berseria,429660,2334
Little Nightmares,424840,8256
The Elder Scrolls Online,306130,32472
Watch_Dogs 2,447040,13554
Toukiden 2,551730,115
Don't Starve,219740,15808
Dungreed,753420,1988
Dragon Cliff 龙崖,758190,1442
Mirror,644560,28510
Crusader Kings III,1158310,43122
Keep Talking and Nobody Explodes,341800,2035
Frostpunk,323190,23254
Hunt: Showdown,594650,27199
Avorion,445220,3544
Axiom Verge,332200,503
DRAGON BALL FighterZ,678950,13353
Farm Together,673950,4967
WWE 2K17,510510,129
The Walking Dead,207610,5769
The Elder Scrolls V: Skyrim Special Edition,489830,54690
Cuphead,268910,19858
Arma 3,107410,41825
Detention,555220,962
Cyberdimension Neptunia: 4 Goddesses Online,632350,474
Oxygen Not Included,457140,21110
The Crew 2,646910,20304
Euro Truck Simulator 2,227300,134687
Day of Infamy,447820,2098
Vampyr,427290,5025
Half-Life,70,20488
Broforce,274190,6062
Gunpoint,206190,718
RollerCoaster Tycoon World,282560,407
BERSERK and the Band of the Hawk,502280,283
Two Point Hospital,535930,7508
STEINS;GATE 0,825630,1166
The Henry Stickmin Collection,1089980,18187
Townscaper,1291340,7174
Golf It!,571740,4440
Urban Empire,352550,82
The Elder Scrolls V: Skyrim,72850,31701
SENRAN KAGURA ESTIVAL VERSUS,502800,653
BioShock Infinite,8870,17932
Dead by Daylight,381210,161460
Rise of Industry,671440,773
Ancestors Legacy,620590,1667
Dying Light,239140,86840
Down To One,334040,18
Doki Doki Literature Club,698780,31572
The Wolf Among Us,250320,2557
Stay Out,1180380,5097
Momodora: Reverie Under the Moonlight,428550,1260
Ravenfield,636480,15556
Total War: ROME II - Emperor Edition,214950,12336
METAL GEAR SURVIVE,543900,493
Stellaris,281990,30675
Hearts of Iron IV,394360,46735
The Sims(TM) 3,47890,6018
Farm Manager 2018,495560,460
Sekiro™: Shadows Die Twice,814380,58768
Divinity: Original Sin 2,435150,43402
XCOM 2,268500,16765
Mark of the Ninja,214560,394
Batman: Arkham Asylum GOTY Edition,35140,7175
Budget Cuts,400940,457
Torment: Tides of Numenera,272270,390
They Are Billions,644930,8778
Age of Empires II (2013),221380,15959
We Were Here Too,677160,1207
Cube World,1128000,2988
Total War Saga: Thrones of Britannia,712100,2553
Call of Duty: Infinite Warfare,292730,1934
"Warhammer 40,000: Dawn of War III",285190,2576
FINAL FANTASY XIV Online,39210,11416
Hunt Down The Freeman,723390,589
SENRAN KAGURA Peach Beach Splash,696170,402
Youtubers Life,428690,2794
Umbrella Corps,390340,185
Don't Escape: 4 Days to Survive,611760,553
Satisfactory,526870,38736
Outlast,238320,13502
Enter the Gungeon,311690,15599
DARK SOULS™: REMASTERED,570940,15874
FAR: Lone Sails,609320,2942
Just Cause 3,225540,20010
Slipstream,732810,231
Farming Simulator 19,787860,20768
MORDHAU,629760,26627
Mount & Blade: Warband,48700,28806
Bloons TD 6,960090,39829
DOOM,379720,46515
Finding Paradise,337340,2523
Ghost of a Tale,417290,684
Sniper Elite 4,312660,9851
STAR WARS™ Empire at War: Gold Pack,32470,8711
Deep Rock Galactic,548430,44497
A Short Hike,1055540,3659
The Room,288160,3263
Tom Clancy's Ghost Recon® Wildlands,460930,8877
Subnautica,264710,42036
