app_name,app_id,count
Cold Waters,541210,929
BeamNG.drive,284160,4455
To the Moon,206440,8958
Rocket League,252950,69754
No Man's Sky,275850,12516
Thimbleweed Park,569860,1478
ARK: Survival Evolved,346110,60743
Tabletop Simulator,286160,3093
Hollow Knight,367520,31890
Train Sim World® 2020,530070,1253
Cave Story+,200900,523
Dishonored,205100,7561
Dead Cells,588650,12596
Black Desert Online,582660,6996
Pit People,291860,3565
Half-Life 2: Episode Two,420,2731
Rust,252490,56001
Darkest Dungeon®,262060,13920
Styx: Shards of Darkness,355790,993
Blackwake,420290,7131
Danganronpa: Trigger Happy Havoc,413410,1734
Guacamelee! Super Turbo Championship Edition,275390,369
A Hat in Time,253230,4389
BattleBlock Theater,238460,9108
Nioh: Complete Edition,485510,6023
OneShot,420530,4665
Castle Crashers,204360,8489
Undertale,391540,18959
DARK SOULS™ III,374320,32797
Terraria,105600,48949
Tales of Berseria,429660,4409
Little Nightmares,424840,4134
The Elder Scrolls Online,306130,11794
Watch_Dogs 2,447040,9915
Toukiden 2,551730,782
Don't Starve,219740,8450
Mirror,644560,3444
Keep Talking and Nobody Explodes,341800,1310
Avorion,445220,2236
Axiom Verge,332200,868
WWE 2K17,510510,1122
The Walking Dead,207610,9727
The Elder Scrolls V: Skyrim Special Edition,489830,19370
Cuphead,268910,25935
Arma 3,107410,25239
Detention,555220,5128
Oxygen Not Included,457140,7800
Euro Truck Simulator 2,227300,45410
Day of Infamy,447820,9112
Half-Life,70,5964
Broforce,274190,6770
Gunpoint,206190,1153
RollerCoaster Tycoon World,282560,920
BERSERK and the Band of the Hawk,502280,904
Golf It!,571740,1525
Urban Empire,352550,1862
The Elder Scrolls V: Skyrim,72850,27731
SENRAN KAGURA ESTIVAL VERSUS,502800,1852
BioShock Infinite,8870,11463
Dead by Daylight,381210,54483
Dying Light,239140,15614
Down To One,334040,243
Doki Doki Literature Club,698780,46895
The Wolf Among Us,250320,2855
Momodora: Reverie Under the Moonlight,428550,2007
Ravenfield,636480,3954
Total War: ROME II - Emperor Edition,214950,4453
Stellaris,281990,11664
Hearts of Iron IV,394360,11147
The Sims(TM) 3,47890,3225
Divinity: Original Sin 2,435150,20987
XCOM 2,268500,9508
Mark of the Ninja,214560,1989
Batman: Arkham Asylum GOTY Edition,35140,3130
Torment: Tides of Numenera,272270,2121
They Are Billions,644930,3227
Age of Empires II (2013),221380,11953
Call of Duty: Infinite Warfare,292730,9173
"Warhammer 40,000: Dawn of War III",285190,11361
FINAL FANTASY XIV Online,39210,3118
Youtubers Life,428690,1983
Umbrella Corps,390340,906
Outlast,238320,13538
Enter the Gungeon,311690,6888
Just Cause 3,225540,11623
Mount & Blade: Warband,48700,14568
DOOM,379720,22253
Finding Paradise,337340,2573
Ghost of a Tale,417290,168
Sniper Elite 4,312660,5430
STAR WARS™ Empire at War: Gold Pack,32470,1706
The Room,288160,2811
Tom Clancy's Ghost Recon® Wildlands,460930,19675
Subnautica,264710,18663
Stardew Valley,413150,35595
Tom Clancy's Rainbow Six Siege,359550,95069
Portal 2,620,26662
Shadow Complex Remastered,385560,209
American Truck Simulator,270880,6446
X Rebirth,2870,690
DRAGON QUEST HEROES™ II,574050,368
The Witcher 3: Wild Hunt,292030,59556
The Binding of Isaac,113200,3398
The Room Two,425580,3108
Duck Game,312530,4997
DiRT 4,421020,2819
Nether,247730,982
Kenshi,233860,1014
Super Meat Boy,40800,3574
STEINS;GATE,412830,2584
Sid Meier's Civilization VI,289070,14184
Titan Souls,297130,887
"Papers, Please",239030,3750
Fairy Fencer F Advent Dark Force,524580,1217
The Binding of Isaac: Rebirth,250900,16174
Saints Row: The Third,55230,8026
Total War: WARHAMMER,364360,12517
Steel Division: Normandy 44,572410,3015
